Disease,Symptoms,symptoms_list,symptoms_text,symptom_count,is_augmented,original_index
Common Cold,runny or nasal congestion; sneezing; throat pain; mild cough; low grade fever; mild headache; fatigue,"['runny or nasal congestion', 'sneezing', 'throat pain', 'mild cough', 'low grade fever', 'mild headache', 'fatigue']",runny or nasal congestion sneezing throat pain mild cough low grade fever mild headache fatigue,7,False,0
Common Cold,mood changes; runny or nasal congestion; mild cough; low grade fever; mild headache; exhaustion; throat pain; sneezing,"['mood changes', 'runny or nasal congestion', 'mild cough', 'low grade fever', 'mild headache', 'exhaustion', 'throat pain', 'sneezing']",mood changes runny or nasal congestion mild cough low grade fever mild headache exhaustion throat pain sneezing,8,True,0
Common Cold,runny or nasal congestion; sneezing; throat pain; mild cough; low grade fever; mild headache; tiredness; mood changes,"['runny or nasal congestion', 'sneezing', 'throat pain', 'mild cough', 'low grade fever', 'mild headache', 'tiredness', 'mood changes']",runny or nasal congestion sneezing throat pain mild cough low grade fever mild headache tiredness mood changes,8,True,0
Common Cold,runny or nasal congestion; sneezing; throat pain; mild cough; low grade fever; mild headache; fatigue,"['runny or nasal congestion', 'sneezing', 'throat pain', 'mild cough', 'low grade fever', 'mild headache', 'fatigue']",runny or nasal congestion sneezing throat pain mild cough low grade fever mild headache fatigue,7,True,0
Influenza (Flu),high fever; chills; severe body aches; headache; dry cough; throat pain; profound fatigue; sometimes vomiting diarrhea  more in children,"['high fever', 'chills', 'severe body aches', 'headache', 'dry cough', 'throat pain', 'profound fatigue', 'sometimes vomiting diarrhea  more in children']",high fever chills severe body aches headache dry cough throat pain profound fatigue sometimes vomiting diarrhea  more in children,8,False,1
Influenza (Flu),dry cough; high fever; headache; sometimes vomiting diarrhea  more in children; profound fatigue; severe body aches; chills; throat pain,"['dry cough', 'high fever', 'headache', 'sometimes vomiting diarrhea  more in children', 'profound fatigue', 'severe body aches', 'chills', 'throat pain']",dry cough high fever headache sometimes vomiting diarrhea  more in children profound fatigue severe body aches chills throat pain,8,True,1
Influenza (Flu),high fever; chills; severe body aches; head pain; dry cough; throat pain; profound fatigue,"['high fever', 'chills', 'severe body aches', 'head pain', 'dry cough', 'throat pain', 'profound fatigue']",high fever chills severe body aches head pain dry cough throat pain profound fatigue,7,True,1
Influenza (Flu),throat pain; severe body aches; seizures; chills; sometimes vomiting diarrhea  more in children; high fever; profound fatigue; headache; dry cough,"['throat pain', 'severe body aches', 'seizures', 'chills', 'sometimes vomiting diarrhea  more in children', 'high fever', 'profound fatigue', 'headache', 'dry cough']",throat pain severe body aches seizures chills sometimes vomiting diarrhea  more in children high fever profound fatigue headache dry cough,9,True,1
Pneumonia,high fever; productive cough with phlegm; chest pain when breathing or coughing; shortness of breath; sweating; chills; fatigue,"['high fever', 'productive cough with phlegm', 'chest pain when breathing or coughing', 'shortness of breath', 'sweating', 'chills', 'fatigue']",high fever productive cough with phlegm chest pain when breathing or coughing shortness of breath sweating chills fatigue,7,False,2
Pneumonia,chest pain when breathing or coughing; chills; high fever; productive cough with phlegm; sweating; shortness of breath,"['chest pain when breathing or coughing', 'chills', 'high fever', 'productive cough with phlegm', 'sweating', 'shortness of breath']",chest pain when breathing or coughing chills high fever productive cough with phlegm sweating shortness of breath,6,True,2
Pneumonia,productive cough with phlegm; fatigue; sweating; chest pain when breathing or coughing; chills; difficulty breathing; high fever,"['productive cough with phlegm', 'fatigue', 'sweating', 'chest pain when breathing or coughing', 'chills', 'difficulty breathing', 'high fever']",productive cough with phlegm fatigue sweating chest pain when breathing or coughing chills difficulty breathing high fever,7,True,2
