"Disease","Symptoms"
"Common Cold","Runny or stuffy nose; sneezing; sore throat; mild cough; low-grade fever; mild headache; fatigue"
"Influenza (Flu)","High fever; chills; severe body aches; headache; dry cough; sore throat; profound fatigue; sometimes vomiting/diarrhea (more in children)"
"Pneumonia","High fever; productive cough with phlegm; chest pain when breathing or coughing; shortness of breath; sweating; chills; fatigue"
"Bronchitis","Persistent cough (may produce mucus); wheezing; chest discomfort; low-grade fever; shortness of breath; fatigue"
"Asthma","Recurrent wheeze; shortness of breath; chest tightness; coughing (worse at night/early morning); triggers (allergens, exercise)"
"Allergic Rhinitis (Hay Fever)","Sneezing; itchy, watery eyes; runny or congested nose; post-nasal drip; itchy throat; seasonal or perennial pattern"
"Sinusitis","Facial pain/pressure; nasal congestion; thick nasal discharge (yellow/green); reduced sense of smell; headache; dental pain; cough"
"Strep Throat","Sudden severe sore throat; pain on swallowing; fever; swollen tender lymph nodes in neck; white patches on tonsils; absent cough"
"Tonsillitis","Sore throat; swollen/enlarged tonsils often with white or yellow patches; painful swallowing; fever; bad breath; swollen neck glands"
"Gastroenteritis (Stomach Flu)","Nausea; vomiting; watery diarrhea; abdominal cramps; low-grade fever; dehydration risk; muscle aches"
"Food Poisoning","Sudden nausea; vomiting; severe abdominal cramps; diarrhea (may be bloody depending on cause); fever; weakness; dehydration"
"Gastritis","Upper abdominal pain or burning; bloating; nausea; vomiting; belching; loss of appetite; sometimes dark/tarry stools if bleeding"
"Peptic Ulcer Disease","Burning or gnawing epigastric pain (better/worse with meals depending on type); bloating; nausea; heartburn; possible vomiting or GI bleeding"
"GERD (Acid Reflux)","Heartburn; acid regurgitation; chest discomfort; chronic cough; hoarseness; sour taste; worse when lying down or after meals"
"Appendicitis","Periumbilical pain that migrates to right lower abdomen; worsening abdominal pain; nausea; vomiting; fever; loss of appetite; rebound tenderness"
"Cholecystitis / Gallstones","Sudden severe pain in right upper abdomen or right shoulder; nausea; vomiting; fever; tenderness over gallbladder; pain after fatty meals"
"Hepatitis (viral)","Fatigue; jaundice (yellowing of skin/eyes); dark urine; pale stools; abdominal discomfort (right upper quadrant); nausea; loss of appetite"
"Pancreatitis","Severe constant upper abdominal pain radiating to the back; nausea; vomiting; fever; rapid pulse; abdominal tenderness"
"Urinary Tract Infection (UTI)","Burning or painful urination; frequent urge to urinate; small amounts of urine; cloudy or strong-smelling urine; lower abdominal/pelvic pain; sometimes blood in urine"
"Pyelonephritis (Kidney Infection)","High fever; chills; flank (side) or back pain; nausea/vomiting; painful/frequent urination; cloudy or bloody urine; malaise"
"Kidney Stones","Sudden severe flank or abdominal pain that may radiate to groin; pain comes in waves; blood in urine; nausea; vomiting; urgency/frequency of urination"
"Chlamydia Infection","Often asymptomatic; abnormal genital discharge; burning during urination; pelvic pain; pain during intercourse; in women can cause bleeding between periods"
"Gonorrhea","Genital discharge (purulent); painful urination; pelvic pain; increased vaginal bleeding; testicular pain in men; sometimes sore throat if oral exposure"
"Syphilis","Primary: painless genital sore; Secondary: rash (including palms/soles), mucous lesions, fever, lymphadenopathy; Latent/tertiary: organ damage if untreated"
"Pelvic Inflammatory Disease (PID)","Lower abdominal/pelvic pain; abnormal vaginal discharge; fever; painful intercourse; painful urination; irregular menstrual bleeding; infertility risk if untreated"
"Vaginal Yeast Infection (Candidiasis)","Intense vaginal itching and irritation; thick white 'cottage cheese' discharge; burning with urination; redness/swelling of vulva"
"Bacterial Vaginosis","Thin gray or white vaginal discharge; fishy odor (especially after intercourse); vaginal itching or irritation (may be mild or absent)"
"Ectopic Pregnancy","Abdominal or pelvic pain (often one-sided); vaginal bleeding or spotting; dizziness or fainting; shoulder pain (if internal bleeding); missed period"
"Miscarriage (Spontaneous Abortion)","Vaginal bleeding or spotting; cramping abdominal pain; passage of tissue or fluid; decreased pregnancy symptoms; backache"
"Endometriosis","Chronic pelvic pain (often worse with menstruation); painful intercourse; heavy or irregular periods; infertility; painful bowel or urination during periods"
"Uterine Fibroids","Heavy or prolonged menstrual bleeding; pelvic pressure or pain; frequent urination; constipation; lower back pain; enlargement of abdomen in large fibroids"
"Endometritis","Pelvic pain; abnormal vaginal discharge; fever; painful intercourse; bleeding after intercourse; abnormal uterine bleeding"
"Iron Deficiency Anemia","Fatigue; weakness; pale skin; shortness of breath on exertion; dizziness; cold hands/feet; brittle nails; pica (craving non-food items)"
