Disease,Symptoms,symptoms_list,symptom_count,symptoms_text,disease_encoded,has_respiratory_symptoms,has_cardiovascular_symptoms,has_gastrointestinal_symptoms,has_genitourinary_symptoms,has_neurological_symptoms,has_dermatological_symptoms,has_musculoskeletal_symptoms,has_endocrine_symptoms,has_severe_indicators,has_mild_indicators,has_chronic_indicators,symptom_diversity
Common Cold,Runny or stuffy nose; sneezing; sore throat; mild cough; low-grade fever; mild headache; fatigue,"['runny or nasal congestion', 'sneezing', 'throat pain', 'mild cough', 'low grade fever', 'mild headache', 'fatigue']",7,runny or nasal congestion sneezing throat pain mild cough low grade fever mild headache fatigue,8,1,0,0,0,1,0,0,1,0,1,0,3
Influenza (Flu),High fever; chills; severe body aches; headache; dry cough; sore throat; profound fatigue; sometimes vomiting/diarrhea (more in children),"['high fever', 'chills', 'severe body aches', 'headache', 'dry cough', 'throat pain', 'profound fatigue', 'sometimes vomiting diarrhea  more in children']",8,high fever chills severe body aches headache dry cough throat pain profound fatigue sometimes vomiting diarrhea  more in children,23,1,0,1,0,1,0,0,1,1,0,0,4
Pneumonia,High fever; productive cough with phlegm; chest pain when breathing or coughing; shortness of breath; sweating; chills; fatigue,"['high fever', 'productive cough with phlegm', 'chest pain when breathing or coughing', 'shortness of breath', 'sweating', 'chills', 'fatigue']",7,high fever productive cough with phlegm chest pain when breathing or coughing shortness of breath sweating chills fatigue,35,1,1,0,0,0,0,0,1,1,0,0,3
Bronchitis,Persistent cough (may produce mucus); wheezing; chest discomfort; low-grade fever; shortness of breath; fatigue,"['persistent cough  may produce mucus', 'wheezing', 'chest discomfort', 'low grade fever', 'shortness of breath', 'fatigue']",6,persistent cough  may produce mucus wheezing chest discomfort low grade fever shortness of breath fatigue,4,1,0,0,0,0,0,0,1,0,0,1,2
Asthma,"Recurrent wheeze; shortness of breath; chest tightness; coughing (worse at night/early morning); triggers (allergens, exercise)","['recurrent wheeze', 'shortness of breath', 'chest tightness', 'coughing  worse at night early morning', 'triggers  allergens  exercise']",5,recurrent wheeze shortness of breath chest tightness coughing  worse at night early morning triggers  allergens  exercise,2,1,0,0,0,0,0,0,0,0,0,1,1
Allergic Rhinitis (Hay Fever),"Sneezing; itchy, watery eyes; runny or congested nose; post-nasal drip; itchy throat; seasonal or perennial pattern","['sneezing', 'itchy  watery eyes', 'runny or congested nose', 'post nasal drip', 'itchy throat', 'seasonal or perennial pattern']",6,sneezing itchy  watery eyes runny or congested nose post nasal drip itchy throat seasonal or perennial pattern,0,1,0,0,0,0,0,0,0,0,0,0,1
Sinusitis,Facial pain/pressure; nasal congestion; thick nasal discharge (yellow/green); reduced sense of smell; headache; dental pain; cough,"['facial pain pressure', 'nasal congestion', 'thick nasal discharge  yellow green', 'reduced sense of smell', 'headache', 'dental pain', 'cough']",7,facial pain pressure nasal congestion thick nasal discharge  yellow green reduced sense of smell headache dental pain cough,38,1,0,0,0,1,0,0,0,0,0,0,2
Strep Throat,Sudden severe sore throat; pain on swallowing; fever; swollen tender lymph nodes in neck; white patches on tonsils; absent cough,"['sudden severe throat pain', 'pain on swallowing', 'fever', 'swollen tender lymph nodes in neck', 'white patches on tonsils', 'absent cough']",6,sudden severe throat pain pain on swallowing fever swollen tender lymph nodes in neck white patches on tonsils absent cough,39,1,0,0,0,0,0,1,0,1,0,0,2
Tonsillitis,Sore throat; swollen/enlarged tonsils often with white or yellow patches; painful swallowing; fever; bad breath; swollen neck glands,"['throat pain', 'swollen enlarged tonsils often with white or yellow patches', 'painful swallowing', 'fever', 'bad breath', 'swollen neck glands']",6,throat pain swollen enlarged tonsils often with white or yellow patches painful swallowing fever bad breath swollen neck glands,44,1,0,0,0,0,0,1,0,0,0,0,2
Gastroenteritis (Stomach Flu),Nausea; vomiting; watery diarrhea; abdominal cramps; low-grade fever; dehydration risk; muscle aches,"['nausea', 'vomiting', 'watery diarrhea', 'abdominal cramps', 'low grade fever', 'dehydration risk', 'muscle aches']",7,nausea vomiting watery diarrhea abdominal cramps low grade fever dehydration risk muscle aches,16,0,0,1,0,0,0,1,0,0,0,0,2
Food Poisoning,Sudden nausea; vomiting; severe abdominal cramps; diarrhea (may be bloody depending on cause); fever; weakness; dehydration,"['sudden nausea', 'vomiting', 'severe abdominal cramps', 'diarrhea  may be bloody depending on cause', 'fever', 'weakness', 'dehydration']",7,sudden nausea vomiting severe abdominal cramps diarrhea  may be bloody depending on cause fever weakness dehydration,13,0,0,1,0,1,0,0,0,1,0,0,2
Gastritis,Upper abdominal pain or burning; bloating; nausea; vomiting; belching; loss of appetite; sometimes dark/tarry stools if bleeding,"['upper abdominal pain or burning', 'bloating', 'nausea', 'vomiting', 'belching', 'loss of appetite', 'sometimes dark tarry stools if bleeding']",7,upper abdominal pain or burning bloating nausea vomiting belching loss of appetite sometimes dark tarry stools if bleeding,15,0,0,1,0,0,0,0,0,0,0,0,1
Peptic Ulcer Disease,Burning or gnawing epigastric pain (better/worse with meals depending on type); bloating; nausea; heartburn; possible vomiting or GI bleeding,"['burning or gnawing epigastric pain  better worse with meals depending on type', 'bloating', 'nausea', 'heartburn', 'possible vomiting or gi bleeding']",5,burning or gnawing epigastric pain  better worse with meals depending on type bloating nausea heartburn possible vomiting or gi bleeding,34,0,1,1,0,0,0,0,0,0,0,0,2
